ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
4,VULT,4,SOLAR,11/11/2018,3
4,VULT,5,HIDRATANTES,04/22/2018,13
3,QUEM DISSE BERENICE,2,PERFUMARIA,11/16/2018,15
2,EUDORA,4,SOLAR,07/02/2018,12
3,QUEM DISSE BERENICE,2,PERFUMARIA,03/22/2018,20
3,QUEM DISSE BERENICE,3,MAQUIAGEM,05/06/2018,1
4,VULT,2,PERFUMARIA,07/30/2018,19
2,EUDORA,4,SOLAR,12/04/2018,8
1,BOTICÁRIO,1,CABELOS,02/05/2018,13
4,VULT,2,PERFUMARIA,03/27/2018,18
5,BELEZA NA WEB,5,HIDRATANTES,05/02/2018,19
3,QUEM DISSE BERENICE,4,SOLAR,07/16/2018,5
4,VULT,1,CABELOS,11/30/2018,2
5,BELEZA NA WEB,3,MAQUIAGEM,05/14/2018,8
5,BELEZA NA WEB,1,CABELOS,03/09/2018,12
5,BELEZA NA WEB,3,MAQUIAGEM,10/01/2018,5
5,BELEZA NA WEB,4,SOLAR,10/07/2018,5
1,BOTICÁRIO,3,MAQUIAGEM,10/09/2018,19
4,VULT,5,HIDRATANTES,03/01/2018,10
4,VULT,2,PERFUMARIA,10/13/2018,17
4,VULT,3,MAQUIAGEM,09/09/2018,14
2,EUDORA,3,MAQUIAGEM,01/18/2018,19
5,BELEZA NA WEB,1,CABELOS,01/21/2018,15
1,BOTICÁRIO,1,CABELOS,11/25/2018,19
1,BOTICÁRIO,3,MAQUIAGEM,12/15/2018,6
3,QUEM DISSE BERENICE,5,HIDRATANTES,01/17/2018,8
4,VULT,5,HIDRATANTES,06/01/2018,19
2,EUDORA,2,PERFUMARIA,11/21/2018,18
1,BOTICÁRIO,4,SOLAR,02/28/2018,14
4,VULT,5,HIDRATANTES,11/21/2018,13
3,QUEM DISSE BERENICE,1,CABELOS,07/13/2018,18
2,EUDORA,5,HIDRATANTES,03/24/2018,1
1,BOTICÁRIO,3,MAQUIAGEM,06/15/2018,5
2,EUDORA,1,CABELOS,04/19/2018,2
3,QUEM DISSE BERENICE,5,HIDRATANTES,11/12/2018,9
2,EUDORA,4,SOLAR,04/03/2018,14
1,BOTICÁRIO,4,SOLAR,02/23/2018,3
3,QUEM DISSE BERENICE,3,MAQUIAGEM,08/21/2018,15
4,VULT,4,SOLAR,08/26/2018,5
3,QUEM DISSE BERENICE,4,SOLAR,06/04/2018,2
1,BOTICÁRIO,1,CABELOS,09/15/2018,14
3,QUEM DISSE BERENICE,3,MAQUIAGEM,09/21/2018,9
4,VULT,2,PERFUMARIA,12/11/2018,12
5,BELEZA NA WEB,4,SOLAR,01/17/2018,13
2,EUDORA,2,PERFUMARIA,07/22/2018,18
3,QUEM DISSE BERENICE,5,HIDRATANTES,06/29/2018,16
5,BELEZA NA WEB,4,SOLAR,07/05/2018,6
5,BELEZA NA WEB,2,PERFUMARIA,01/21/2018,6
4,VULT,1,CABELOS,05/26/2018,3
2,EUDORA,3,MAQUIAGEM,06/12/2018,18
4,VULT,2,PERFUMARIA,06/24/2018,17
5,BELEZA NA WEB,5,HIDRATANTES,12/18/2018,3
4,VULT,4,SOLAR,09/07/2018,12
3,QUEM DISSE BERENICE,1,CABELOS,01/12/2018,1
4,VULT,3,MAQUIAGEM,08/04/2018,7
5,BELEZA NA WEB,3,MAQUIAGEM,11/23/2018,5
5,BELEZA NA WEB,4,SOLAR,10/25/2018,17
1,BOTICÁRIO,2,PERFUMARIA,01/01/2018,5
2,EUDORA,1,CABELOS,05/26/2018,15
2,EUDORA,4,SOLAR,08/01/2018,17
3,QUEM DISSE BERENICE,3,MAQUIAGEM,04/14/2018,17
5,BELEZA NA WEB,2,PERFUMARIA,05/01/2018,9
3,QUEM DISSE BERENICE,1,CABELOS,12/01/2018,15
5,BELEZA NA WEB,5,HIDRATANTES,09/03/2018,7
5,BELEZA NA WEB,1,CABELOS,12/17/2018,15
3,QUEM DISSE BERENICE,5,HIDRATANTES,07/12/2018,12
1,BOTICÁRIO,5,HIDRATANTES,01/14/2018,17
3,QUEM DISSE BERENICE,1,CABELOS,08/27/2018,14
5,BELEZA NA WEB,5,HIDRATANTES,12/28/2018,4
4,VULT,1,CABELOS,03/01/2018,9
4,VULT,5,HIDRATANTES,05/09/2018,1
5,BELEZA NA WEB,5,HIDRATANTES,08/26/2018,11
3,QUEM DISSE BERENICE,1,CABELOS,04/27/2018,1
4,VULT,4,SOLAR,05/12/2018,13
2,EUDORA,5,HIDRATANTES,10/10/2018,15
5,BELEZA NA WEB,5,HIDRATANTES,11/19/2018,17
4,VULT,5,HIDRATANTES,07/11/2018,2
4,VULT,2,PERFUMARIA,02/06/2018,1
5,BELEZA NA WEB,5,HIDRATANTES,05/17/2018,5
1,BOTICÁRIO,5,HIDRATANTES,05/22/2018,6
4,VULT,2,PERFUMARIA,07/04/2018,4
2,EUDORA,1,CABELOS,10/29/2018,5
1,BOTICÁRIO,3,MAQUIAGEM,08/14/2018,18
2,EUDORA,4,SOLAR,07/22/2018,15
2,EUDORA,4,SOLAR,05/02/2018,17
3,QUEM DISSE BERENICE,2,PERFUMARIA,02/28/2018,18
1,BOTICÁRIO,2,PERFUMARIA,05/22/2018,6
1,BOTICÁRIO,5,HIDRATANTES,05/13/2018,16
1,BOTICÁRIO,1,CABELOS,11/10/2018,14
2,EUDORA,5,HIDRATANTES,10/30/2018,11
2,EUDORA,5,HIDRATANTES,09/30/2018,1
5,BELEZA NA WEB,5,HIDRATANTES,09/01/2018,6
3,QUEM DISSE BERENICE,1,CABELOS,03/08/2018,11
4,VULT,5,HIDRATANTES,04/13/2018,12
1,BOTICÁRIO,2,PERFUMARIA,03/05/2018,20
3,QUEM DISSE BERENICE,2,PERFUMARIA,07/20/2018,17
1,BOTICÁRIO,5,HIDRATANTES,03/02/2018,10
3,QUEM DISSE BERENICE,5,HIDRATANTES,06/14/2018,20
3,QUEM DISSE BERENICE,3,MAQUIAGEM,10/13/2018,15
1,BOTICÁRIO,2,PERFUMARIA,12/15/2018,6
